#"PHY"	"MAC"	"PZO"	"ZOO"	"BEN"	"FLO"	"PLA"	"HER"	"SPR"	"COD"	"MMA"	"BAC"	"POC"	"DOC"	"SED"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0	-1	0	0	0	0	0	0	0	0	0.5	0	0	0
0.4	0	0.9	-1	0	0	0	0	0	0	0	0.15	0	0	0
0.01	0.8	0.02	0.08	-1	0	0	0	0	0	0	0.35	0	0	0
0	0	0	0.1	0.4	-1	0	0	0	0	0	0	0	0	0
0	0	0	0	0.4	0	-1	0	0	0	0	0	0	0	0
0	0	0	0.4	0	0	0	-1	0	0	0	0	0	0	0
0	0	0	0.4	0	0	0	0	-1	0	0	0	0	0	0
0	0	0	0	0	0.75	0.75	0.5	0.5	-1	0	0	0	0	0
0	0	0	0	0.05	0.05	0.05	0.48	0.48	0.98	-1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	-1	0.5	1	0
0.09	0.1	0.04	0.01	0.1	0.1	0.1	0.01	0.01	0.01	0.99	0	-1	0	0
0.1	0.1	0.04	0.01	0.05	0.1	0.1	0.01	0.01	0.01	0.01	0	0	-1	0
0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	-1
